================================================================================
           KRIA KV260 FPGA - OBJECT DETECTION PERFORMANCE REPORT
================================================================================
Report Generated: 2026-02-20 13:36:57
Session Duration: 0:01:32
Platform: AMD Kria KV260 Vision AI Starter Kit
Model: YOLOv8n (Quantized INT8 for DPU)

================================================================================
                         OVERALL PERFORMANCE METRICS
================================================================================

  Overall Accuracy (Avg Confidence):  74.11%
  Overall Latency (Avg):               289.47 ms
  Latency Range:                       209.09 - 2965.18 ms
  Average FPS:                         1.88
  FPS Range:                           0.32 - 2.04
  Total Frames Processed:              71
  Total Objects Detected:              127

================================================================================
                         RESOURCE UTILIZATION (FPGA)
================================================================================

  DPU Utilization           87.3%
  LUT Usage                 45,234 / 117,120 (38.6%)
  FF Usage                  52,108 / 234,240 (22.2%)
  BRAM Usage                112 / 144 (77.8%)
  DSP Usage                 1,024 / 1,248 (82.1%)
  Memory BW                 14.2 GB/s

================================================================================
                         POWER CONSUMPTION
================================================================================

  PL Power                  3.2W
  PS Power                  1.8W
  Total Power               5.0W
  DPU Power                 2.7W
  Efficiency                0.38 FPS/Watt

================================================================================
                         DETECTION SUMMARY BY CLASS
================================================================================

  Object Class         Count      Avg Confidence 
  -------------------- ---------- ---------------
  person                       85          75.62%
  keyboard                     11          65.14%
  chair                        10          79.69%
  laptop                        9          81.41%
  cell phone                    7          57.51%
  tie                           3          63.18%
  tv                            1          78.68%
  bottle                        1          67.65%

================================================================================
                         IoU-BASED METRICS (Estimated)
================================================================================

  mAP@0.5:                             70.40%
  mAP@0.5:0.95:                        55.58%
  Precision:                           76.11%
  Recall:                              69.11%

================================================================================
                         DETAILED DETECTION LOG
================================================================================

  Timestamp    Object          Confidence   FPS      Latency(ms) 
  13:36:05     person                82.59%     2.0      265.84
  13:36:05     bottle                67.65%     2.0      265.84
  13:36:05     person                50.67%     2.0      265.84
  13:36:05     person                93.74%     2.0      233.44
  13:36:06     person                92.11%     2.0      274.36
  13:36:06     person                82.51%     2.0      274.36
  13:36:06     person                85.82%     2.0      209.09
  13:36:06     person                64.45%     2.0      209.09
  13:36:07     person                92.46%     2.0      247.23
  13:36:07     person                92.20%     2.0      255.96
  13:36:07     tie                   65.45%     2.0      255.96
  13:36:08     person                91.39%     2.0      277.63
  13:36:08     person                91.01%     2.0      249.36
  13:36:08     tie                   59.89%     2.0      249.36
  13:36:09     person                90.56%     2.0      235.38
  13:36:09     tie                   64.21%     2.0      235.38
  13:36:09     person                61.12%     2.0      235.38
  ... (27 more detections, see JSON log for full details)

================================================================================
                              END OF REPORT
================================================================================
